wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,Type
0.212219,0.142857,0.0336517,0.378882,0
0.215434,0.0914286,0.0188143,0.248447,0
0.22508,0.125714,0.0420602,0.242236,0
0.237942,0.142857,0.058868,0.378882,0
0.212219,0.154286,0.00841439,0.385093,0
0.21865,0.114286,0.0420602,0.242236,0
0.299035,0.165714,0.138341,0.31677,0
0.21865,0.154286,0.0677888,0.385093,0
0.221865,0.108571,0.0452982,0.229814,0
0.21865,0.131429,0.0252408,0.385093,0
0.21865,0.131429,0.0266059,0.242236,0
0.215434,0.114286,0.0336517,0.291925,0
0.21865,0.148571,0.0118996,0.385093,0
0.212219,0.154286,0.0252408,0.385093,0
0.228296,0.0628571,0.0452982,0.229814,0
0.22508,0.114286,0.0252408,0.291925,0
0.273312,0.165714,0.174821,0.31677,0
0.21865,0.114286,0.034687,0.248447,0
0.209003,0.137143,0.109496,0.329192,0
0.21865,0.137143,0.0751919,0.341614,0
0.221865,0.131429,0.0336517,0.385093,0
0.22508,0.125714,0.0188143,0.285714,0
0.21865,0.131429,0.037622,0.31677,0
0.22508,0.114286,0.0188143,0.242236,0
0.21865,0.12,0.0188143,0.242236,0
0.209003,0.131429,0.0420602,0.31677,0
0.209003,0.154286,0.0188143,0.385093,0
0.212219,0.12,0.00841439,0.248447,0
0.21865,0.148571,0.0303343,0.341615,0
0.247588,0.177143,0.0844659,0.360248,0
0.231511,0.0628571,0.0237975,0.229814,0
0.22508,0.114286,0.0266059,0.229813,0
0.221865,0.148571,0.0475819,0.341615,0
0.209003,0.205714,0.0188143,0.397515,0
0.221865,0.114286,0,0.229814,0
0.21865,0.131429,0.0237975,0.31677,0
0.221865,0.137143,0.0237975,0.341614,0
0.324759,0.165714,0.172623,0.31677,0
0.318328,0.165714,0.0168282,0.31677,0
0.215434,0.131429,0.0168282,0.385093,0
0.212219,0.102857,0.0538534,0.260869,0
0.212219,0.102857,0.0118996,0.260869,0
0.292605,0.165714,0.126168,0.31677,0
0.254019,0.148571,0.037622,0.347825,0
0.244373,0.148571,0.0252408,0.347825,0
0.212219,0.142857,0.0452982,0.378882,0
0.215434,0.108571,0.0237975,0.248447,0
0.21865,0.148571,0.0797438,0.385093,0
0.202572,0.154286,0.0188143,0.385093,0
0.215434,0.125714,0.0420602,0.285714,0
0.279743,0.165714,0.201987,0.31677,0
0.215434,0.205714,0.0188143,0.397515,0
0.221865,0.114286,0,0.229814,0
0.212219,0.125714,0.0168282,0.273292,0
0.21865,0.142857,0.0252408,0.378882,0
