Highways_R2005_test3.tif,Type
0.0504161,0
0.0492534,0
0.00642058,1
0.0550738,1
0.112682,0
0.0773151,1
0.0179636,1
0.0489375,1
0.00193176,1
0.0017755,0
0.0531904,0
0.0628701,0
0.0100786,0
0.101247,1
0.0810369,1
0.0407585,1
0.0482153,0
0.0980433,1
0.0836005,0
0.0335182,1
0.0572414,0
0.00459607,1
0.0791182,0
0.0221353,0
0.133925,1
0.0665536,0
0.0504078,1
0.0342598,0
0.0316443,1
0.046324,1
0.031927,1
0.117142,0
0.0261877,1
0.0139712,0
0.0545706,1
0.0465179,0
0.0194441,0
0.00857492,1
0.0139461,1
0.0407292,1
0.111383,0
0.04333,1
0.139088,1
0.116022,1
0.026196,0
0.0597498,1
0.161436,1
0.15719,0
0.14965,1
0.129756,0
0.0160837,1
0.128947,0
0.0631106,1
0.00852055,0
0.143845,0
0.164934,1
0.0693099,0
0.0343162,0
0.147498,0
0.112664,1
0.000820727,1
0.0237543,1
0.00270715,1
0.14708,0
0.114534,0
0.0814176,1
0.0391689,1
0.025589,0
0.0896919,1
0.06688,0
0.00835772,0
0.0441133,0
0.0498279,1
0.0605811,1
0.0712688,1
0.0409747,1
0.0052948,1
0.0217308,1
0.0369077,1
0.00641008,1
0.0257227,1
0.0289092,1
0.10447,1
0.0733952,0
0.0342006,1
0.00596934,1
0.00311876,0
0.0620718,1
0.0193096,1
0.0137652,1
0.135142,1
0.0089199,1
0.00728554,1
0.00334188,0
0.0427979,1
0.0976159,1
0.092391,1
0.0920228,1
0.0620236,0
0.133826,1
0.0120426,0
0.0873855,0
0.0674708,0
0.0558033,0
0.198439,1
0.0718863,0
0.170659,1
0.0886757,1
0.142993,0
0.0975488,1
0.209524,0
0.155714,1
0.00364277,1
0.0396303,0
0.00493529,1
0.0832034,1
0.22315,0
0.0211868,0
0.181156,0
0.00623968,1
0.0349552,0
0.136556,1
0.0332444,1
0.0340769,1
0.103273,1
0.236004,0
0.0269243,0
0.0272501,0
0.128143,0
0.0233713,1
0.0490366,1
0.115557,0
0.0278547,0
0.0225152,1
0.0242082,0
0.112844,1
0.0617375,0
0.12386,1
0.142234,1
0.0378906,1
0.0261617,1
0.0426981,1
0.0551462,0
0.0190578,0
0.0226901,1
0.0216202,1
0.00747267,0
0.120071,1
0.10549,1
0.0303658,1
0.0803622,0
0.218882,0
0.231728,1
0.0110655,0
0.00419294,1
0.125704,0
0.0541621,0
0.0698129,0
0.088713,1
0.0572377,0
0.862204,0
0,0
0.21428,0
0.168838,0
0.0152027,1
0.0007432,0
0.121305,0
0.0809202,1
0.0309493,1
0.801706,1
0.19026,0
0.151577,1
0.113311,1
0.00984872,0
0.0934003,1
0.249917,0
0.109433,1
0.130103,1
0.0631306,0
0.202375,0
0.0617363,0
0.852548,0
0.0698327,0
0.131592,0
0.0557105,0
0.132814,1
0.0146541,0
0.043236,1
0.0588695,1
0.0297518,1
0.113218,1
0.2105,1
0.198984,1
0.190379,0
0.835224,0
0.11781,1
0.0101086,1
0.848012,0
0.0774116,0
0.138404,0
0.635496,0
0.0428872,1
0.111807,1
0.182348,0
0.0631869,0
0.11452,0
0.0606189,0
0.856832,1
0.598015,0
0.00249209,0
0.139465,1
0.0508624,1
0.816919,0
0.805491,0
0.186245,0
0.0747988,0
0.0345605,0
0.109698,1
0.219183,0
0.413929,0
0.215372,0
0.213122,0
0.11675,0
0.0796923,0
0.0282807,0
0.0283192,0
0.154071,1
0.887828,0
0.843297,0
0.0531107,1
0.0203053,1
0.0125836,1
0.824079,0
0.816818,0
0.645102,0
0.00196974,0
0.14939,0
0.158265,0
0.159614,0
0.154128,0
0.756541,0
0.169027,0
0.0665682,1
0.19356,0
0.0111214,1
0.0536738,1
0.866026,0
0.0782092,0
0.0456938,0
0.0418703,1
0.802529,0
0.418511,1
0.0573989,0
0.800349,0
0.0474004,0
0.0451392,0
0.0161702,0
0.0111914,1
0.234103,0
0.0627328,1
0.480771,0
0.196804,0
0.0186524,0
0.0676296,0
0.0489222,0
0.15948,1
0.520431,0
0.153376,0
0.0143569,0
0.766505,0
0.504087,1
0.371326,0
0.112672,0
0.0450707,1
0.065989,1
0.0389666,1
0.144589,0
0.149694,0
0.165056,0
0.0267879,0
0.0577421,0
0.694715,0
0.147986,0
0.00462092,1
0.016975,1
0.786865,0
0.0825114,1
0.223541,0
0.0539716,1
0.208234,1
0.0559494,0
0.213443,1
0.284258,1
0.809817,0
0.791385,0
0.777278,0
0.769879,0
0.100802,1
0.0228666,0
0.00343727,1
0.0695645,1
0.810325,1
0.794354,0
0.334559,1
0.211883,1
0.0923035,0
0.0100007,1
0.0117922,1
0.00706016,1
0.735443,0
0.00480528,1
0.211883,1
0.202873,1
0.187783,1
0.281162,1
0.692472,1
0.422006,1
0.118048,1
0.123907,1
0.0493787,0
0.231102,0
0.0436048,1
0.712319,0
0.557018,0
0.491338,1
0.410025,1
0.22315,1
0.231102,0
0.443604,0
0.174011,0
0.177398,0
0.731713,0
0.0606238,0
0.00357558,1
0.0152103,0
0.178904,1
0.330737,0
0.170039,0
0.00291098,1
0.466759,0
0.45489,0
0.200678,0
0.102237,1
0.152929,1
0.190091,0
0.100406,1
0.150484,1
0.120394,0
0.0017679,1
0.782249,0
0.293545,1
0.0424964,0
0.0218582,1
0.506241,1
0.489684,1
0.0757536,1
0.0309099,1
0.773265,0
0.707956,0
0.448586,0
0.153439,1
0.0425838,1
0.770538,0
0.423079,0
0.0120426,1
0.114498,1
0.709733,0
0.174919,0
0.0658037,1
0.0150195,0
0.098414,0
0.716698,0
0.0157139,1
0.0127596,1
0.460742,0
0.123572,0
0.112708,1
0.133718,1
0.192828,0
0.691731,0
0.144983,0
0.0811512,1
0.180122,0
0.00899211,1
0.0925708,1
0.145936,0
0.0573345,1
0.0125101,1
0.130257,1
0.700026,0
0.567232,0
0.314415,1
0.0333542,1
0.629161,1
0.558097,0
0.0620081,1
0.205128,1
0.273829,1
0.704406,0
0.701979,0
0.170038,1
0.292369,1
0.0459509,0
0.0122423,1
0.174992,0
0.0911562,1
0.261609,0
0.0901043,1
0.402568,1
0.253249,1
0.25166,0
0.179329,1
0.0130699,0
0.00103815,1
0.0204442,0
0.130913,0
0.0829545,1
0.140452,1
0.18362,1
0.175527,1
0.0340952,0
0.00524495,0
0.00581385,0
0.0431612,0
0.800446,0
0.684783,0
0.467415,1
0.0600019,1
0.116843,0
0.10497,0
0.121648,1
0.153128,1
0.254561,0
0.144878,0
0.753664,0
0.692835,0
0.423991,0
0.0821193,0
0.13577,1
0.00504463,1
0.000580341,1
0.181468,0
0.0740268,0
0.00981103,1
0.000991688,0
0.107968,0
0.781907,0
0.34665,1
0.050447,0
0.254888,0
0.0818508,1
0.0222503,0
0.0189035,1
0.0443381,1
0.158243,0
0.0378577,1
0.0371582,0
0.172325,0
0.0125252,1
0.0273118,1
0.634086,0
0.603573,1
0.109461,1
0.154045,0
0.0260182,0
0.0424642,0
0.623351,1
0.150773,0
0.11069,0
0.0823094,0
0.502481,0
0.502481,1
0.146823,0
0.0341574,0
0.10488,0
0.167813,1
0.0536331,1
0.630242,1
0.337727,1
0.0911178,0
0.147407,0
0.16151,0
0.0568656,0
0.19605,1
0.0017679,0
0.0143817,0
0.1972,0
0.197075,0
0.0319626,0
0.000259537,0
0.507216,1
0.101393,1
0.145389,0
0.0702366,0
0.0691004,1
0.0561943,1
0.11607,0
0.0378228,1
0.656715,0
0.126767,0
0.0688214,1
0.245476,0
0.0126807,0
0.112208,0
0.211703,0
0.191743,0
0.00759516,0
0.072879,1
0.693702,0
0.645285,0
0.0842486,0
0.0129799,0
0.121266,0
0.0182799,0
0.00782493,1
0.736045,0
0.0888502,0
0.0551495,0
0.0516785,1
0.124309,0
0.0317412,1
0.015157,1
0.638699,0
0.34886,0
0.0130514,0
0.0257454,1
0.000348205,1
0.058913,0
0.0597148,1
0.0875684,0
0.00655041,1
0.741524,0
0.0472091,1
0.0175911,1
0.0135621,0
0.130413,0
0.0819767,1
0.037026,1
0.0754359,0
0.041702,1
0.0374251,1
0.586355,1
0.10312,1
0.111171,0
0.153926,1
0.00299537,1
0.00299537,0
0.000464273,1
0.017816,1
0.732665,0
0.728842,0
0.0134504,1
0.0150571,0
0.187794,0
0.096262,0
0.175901,1
0.0947128,0
0.176104,0
0.0023502,0
0.803072,0
0.788062,0
0.446472,1
0.0305526,0
0.0132872,0
0.127539,1
0.000492436,1
0.787132,0
0.279073,1
0.0641685,0
0.0892789,1
0.0257164,0
0.0410332,0
0.0527437,0
0.181035,0
0.0217943,0
0,1
0.013214,0
0.0843627,0
0.784667,0
0.356875,1
0.151046,1
0.0650418,0
0.187687,1
0.00872599,1
0.785596,0
0.423413,1
0.174558,1
0.0776801,1
0.0749809,0
0.0114037,1
0.0167428,0
0.00254822,0
0.155755,0
0.00332572,0
0.782668,0
0.0497967,0
0.0749801,1
0.0590798,0
0.0104236,1
0.0182467,1
0.0996583,1
0.776543,0
0.765287,0
0.0542183,0
0.0492534,0
0.0651557,0
0.0652201,0
0.0543027,0
0.0423229,0
0.0306952,0
0.0676463,0
0.372796,1
0.368907,1
0.359284,1
0.342199,1
0.045643,0
0.0554578,0
0.0585317,0
0.0529762,0
0.11408,0
0.0039972,0
0.000957123,1
0.102195,1
0.0786413,1
0.0333166,0
0.0316188,0
0.0481767,0
0.0393346,0
