DEM.tif,dis-gthc.tif,dis-railway.tif,dis-wator.tif,dis-zf.tif,dis_cityway11.tif,dis_cityway2.tif,dis_cityway3.tif,dis_cityway4.tif,dis_mainway.tif,gdp2015.tif,rainfall20002020.tif,rk2015.tif,slope1.tif,solid.tif,temprature2000-20201.tif,wind2000-20201.tif,Type
0.290036,0.0634224,0.0527897,0.142079,0.133522,0.47768,0.116355,0.040459,0,0.0257193,0.00321916,0.908126,0.00602352,0.300975,0.00357143,0.325524,0.235557,0
0.233096,0.0358691,0.0025079,0.118383,0.0427029,0.500642,0.0640712,0.0275495,0.000911722,0.0118481,0.00785475,0.898946,0.00613784,0.207821,0.00357143,0.353778,0.276523,0
0.332147,0.120177,0.120971,0.199805,0.211495,0.441997,0.123795,0.0682356,0.0817822,0.0238888,0.00321916,0.920036,0.00594946,0.119318,0.5,0.299146,0.196051,0
0.120403,0.0398391,0.018924,0.0546747,0.193112,0.160016,0.0548585,0.0264752,0.0190209,0.0136912,0.0179629,0.769146,0.0310778,0.0117583,0.00357143,0.382136,0.57369,0
0.099051,0.243372,0.152594,0.510302,0.276427,0.238729,0.218745,0.346993,0.301814,0.00266108,0.00270409,0.514243,0.0139545,0.0475751,0.428571,0.418244,0.640704,0
0.14828,0.22527,0.0790635,0.47978,0.277078,0.217448,0.132112,0.178071,0.19947,0.0942295,0.0159027,0.62342,0.0275124,0.278833,0.428571,0.419499,0.638412,0
0.0996441,0.53147,0.52888,0.0102167,0.507821,0.539679,0.288628,0.543716,0.752978,0.0184817,0.00160958,0.185806,0.032454,0.0484358,0.428571,0.383174,0.696003,0
0.294187,0.130567,0.13034,0.235195,0.208567,0.454253,0.0957066,0.0500774,0.0803519,0.000912744,0.00315478,0.920036,0.0143829,0.194802,0.5,0.299146,0.196051,0
0.199881,0.0290827,0.00544144,0.0638114,0.0196071,0.427883,0.0129233,0.030656,0.00613298,0.0127784,0.00328354,0.893259,0.0195734,0.285127,0.642857,0.380274,0.310622,0
0.240214,0.016827,0.01343,0.046107,0.0456349,0.406614,0.0478533,0.00738022,0.0165246,0.0307705,0.0102369,0.890071,0.00603239,0.232681,0.642857,0.398644,0.332429,0
0.259193,0.0949628,0.0893384,0.261297,0.180096,0.309007,0.176481,0.00467722,0.0433931,0.00516326,0.00309039,0.879008,0.00578725,0.08956,0.428571,0.421171,0.397597,0
0.0860024,0.237474,0.0949645,0.47951,0.247673,0.224806,0.157194,0.284096,0.302983,0.000912744,0.00212465,0.552666,0.01188,0.233277,0.00357143,0.426232,0.640253,0
0.116251,0.173292,0.0482153,0.375923,0.213988,0.167684,0.0681122,0.104141,0.250315,0.00516326,0.0410765,0.65107,0.0276874,0.044893,0.00357143,0.426985,0.640106,0
0.190985,0.00695033,0.00433265,0.0222958,0.0623227,0.395514,0.0553029,0.00528238,0.00851618,0.0057727,0.0102369,0.889142,0.014279,0.0157747,0.642857,0.411006,0.341268,0
0.392052,0.155219,0.137367,0.354332,0.0745524,0.153442,0.10506,0.0580081,0.0537993,0.0788349,0.110417,0.830508,0.11305,0.168612,0.00357143,0.398074,0.542688,0
