aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,Type
0.233336,0.380643,0.000373443,0.220196,0.463013,0.739362,0.510554,0.318554,0.493484,0.495674,0.385759,0.330788,0.0994941,0,0.606464,0.0773092,0
0.22259,0.24428,0.000166452,0.207712,0.411771,0.558465,0.518308,0.0615364,0.426153,0.605621,0.306122,0.181215,0.902192,0,0.844921,0.0592369,0
0.41019,0.368584,0.00034505,0.489169,0.965385,0.611669,0.0170277,0.235376,0.591135,0.32156,0.272304,0.242997,0.959528,0,0.5956,0.0451807,0
0.358145,0.217069,0.00127254,0.0376958,0.653574,0.727703,0.0658366,0.0879759,0.591931,0.415028,0.276468,0.522176,0.908938,0,0.833514,0.0230924,0
0.244462,0.243352,0.000213677,0.234415,0.402335,0.563824,0.540091,0.0183218,0.41516,0.600806,0.32034,0.175862,0.902192,0,0.857414,0.0512048,0
0.343635,0.319728,0.000322875,0.396846,0.392078,0.627533,0.149659,0.0926752,0.404169,0.559164,0.360532,0.215689,0.902192,0,0.702607,0.0712851,0
0.0155089,0.100186,0.000500444,0.0179494,0.470733,0.493254,0.0237506,0.170321,0.497854,0.655749,0.244723,0.235869,0.010118,0.00183467,0.87887,0.0331325,0
0.225765,0.272418,0.000740175,0.196247,0.406114,0.553199,0.483146,0.0783948,0.419822,0.607948,0.312535,0.174843,0.902192,0,0.829169,0.0712851,0
0.333275,0.397341,0.000237143,0.29608,0.418237,0.691143,0.460357,0.226727,0.438783,0.52176,0.390783,0.269771,0.902192,0,0.630364,0.0803213,0
0.318446,0.188621,0.000663923,0.0616274,0.432027,0.51673,0.288133,0.194179,0.451509,0.634374,0.282943,0.193984,0.0556492,0,0.831613,0.0542169,0
0.332054,0.331169,0.000137627,0.392686,0.835829,0.667389,0.183412,0.118672,0.5913,0.362482,0.233647,0.33903,0.959528,0,0.652906,0.0461847,0
0.288529,0.300557,0.00171799,0.124178,0.697823,0.716002,0.0574449,0.179314,0.588287,0.40134,0.251049,0.466546,0.902192,0,0.812602,0.0311245,0
0.352806,0.311379,2.40022e-05,0.17349,0.462692,0.746243,0.416708,0.26853,0.49476,0.492028,0.357704,0.338683,0.902192,0,0.691744,0.0582329,0
0.213936,0.248299,0.000329476,0.21735,0.443775,0.725937,0.470566,0.265467,0.471326,0.502715,0.37948,0.311779,0.892074,0,0.68604,0.0512048,0
0.166463,0.260977,0.000723889,0.480971,0.877683,0.65393,0.0888728,0.207529,0.605372,0.352489,0.227472,0.30407,0.900506,0,0.702336,0.0301205,0
0.350289,0.268398,0.000490735,0.133621,0.408066,0.533936,0.369602,0.114063,0.422881,0.619946,0.307413,0.172057,0.0556492,0,0.828354,0.0712851,0
0.302316,0.304886,2.40022e-05,0.499832,0.978976,0.621324,0.0798033,0.230995,0.582475,0.326463,0.255009,0.231743,0.900506,0,0.631722,0.0451807,0
0.455871,0.367965,0.000370357,0.407675,0.840477,0.667429,0.149986,0.116135,0.597067,0.361943,0.22754,0.33136,0.959528,0,0.657795,0.0441767,0
0.385767,0.518862,0.000285276,0.271374,0.772661,0.693455,0.12464,0.162106,0.587423,0.37988,0.236216,0.390285,0.959528,0,0.553775,0.106426,0
0.486505,0.466296,0.000490261,0.249945,0.76175,0.697985,0.157676,0.193905,0.587042,0.382919,0.234818,0.400417,0.959528,0,0.592884,0.0973896,0
0.196088,0.268707,0.000117631,0.280239,0.380646,0.583914,0.417591,0.116636,0.39013,0.585254,0.351463,0.173179,0.0556492,0,0.798751,0.0552209,0
0.0789586,0.323748,2.40022e-05,0.0293146,0.563847,0.77077,0.0652168,0.154298,0.617809,0.447069,0.303189,0.468706,0.892074,0,0.709669,0.0552209,0
0.383524,0.283859,0.000489343,0.178486,0.451886,0.737807,0.411438,0.253565,0.482096,0.49646,0.357715,0.326974,0.0994941,0,0.704237,0.0592369,0
0.346676,0.394867,0.000562825,0.592529,0.948903,0.635857,0.090788,0.222759,0.62348,0.337632,0.242076,0.251406,0.900506,0,0.602933,0.0682731,0
0.338006,0.445269,0.000201507,0.278086,0.771778,0.695682,0.102243,0.149548,0.59298,0.380777,0.230614,0.386351,0.959528,0,0.553775,0.106426,0
